Zip Code,Parking Violations Count
10001,3
10002,1
10003,2
10004,4
10005,3
10007,14
10009,2
10011,7
10012,9
10013,10
10014,5
10016,1
10017,1
10018,1
10019,4
10032,9
10035,1
10036,24
10037,3
10038,24
10275,17
10278,1
10280,3
10282,30
10301,2
11201,7
11203,3
11205,6
11207,33
11211,46
11213,5
11214,1
11216,3
11217,15
11218,1
11221,14
11222,3
11223,12
11224,1
11225,2
11226,4
11227,1
11229,3
11231,3
11233,6
11234,4
11235,8
11237,28
11238,20
11239,4
11249,7
11357,25
