ID,Segment ID,Roadway Name,From,To,Direction,Date,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM
65,144331,BQE,59 Place,59 Street,WB,11/18/2014,692,478,414,467,1047,1992,2816,3287,2888,2834,2711,2748,2577,2737,3278,3508,3631,3473,3390,2932,2555,2187,1935,1550
288,9001819,St. Anns Avenue,East 156 Street,Rae Street,SB,09/13/2014,52,35,40,26,25,34,39,55,73,115,130,140,134,151,144,136,147,124,116,95,115,82,91,70
288,9001819,St. Anns Avenue,Rae Street,East 156 Street,NB,09/13/2014,100,69,71,62,55,48,57,76,118,138,168,196,219,230,232,263,305,249,213,213,213,181,175,147
290,145927,Southern Boulevard,Mosholu Parkway,Bronx River Parkway,WB,09/13/2014,348,238,160,168,207,216,340,601,704,750,899,1012,1012,980,1074,1047,1007,1034,935,885,865,730,661,474
290,145928,Southern Boulevard,Mosholu Parkway,Bronx River Parkway,EB,09/13/2014,458,328,218,174,181,200,355,582,719,696,770,855,986,1019,997,1121,1045,997,873,872,761,683,537,468
308,72881,University Heights Bridge Approach,Harlem River Shoreline,9 Avenue,WB,09/13/2014,790,709,515,447,517,554,595,757,910,1023,1191,1188,1292,1311,1350,1289,1235,1252,1294,1288,1231,1105,1165,1060
308,72881,University Heights Bridge Approach,Harlem River Shoreline,9 Avenue,EB,09/13/2014,832,711,630,509,674,453,449,464,591,694,795,868,936,985,1002,946,1038,1040,1046,1040,998,1020,921,851
349,132595,White Plains Road,East 215 Street,East 216 Street,SB,09/13/2014,404,374,300,242,206,161,151,161,215,280,335,386,363,458,482,510,554,559,509,472,475,469,431,417
349,8103575,White Plains Road,East 215 Street,East 216 Street,NB,09/13/2014,167,131,129,84,74,74,112,160,181,268,269,320,374,350,365,430,362,351,352,342,267,217,190,188
2,70376,3 Avenue,East 154 Street,East 155 Street,NB,09/14/2014,215,213,162,151,157,101,126,133,148,187,299,363,436,422,469,558,551,540,489,447,328,273,234,193
2,70376,3 Avenue,East 155 Street,East 154 Street,SB,09/14/2014,186,213,150,127,101,111,127,161,177,183,223,292,360,349,337,379,373,375,320,319,250,214,184,140
56,176365,Bedford Park Boulevard,Grand Concourse,Valentine Avenue,EB,09/14/2014,121,67,76,59,75,64,52,80,104,141,143,193,212,216,249,304,242,222,227,215,176,152,133,95
56,176365,Bedford Park Boulevard,Grand Concourse,Valentine Avenue,WB,09/14/2014,102,97,56,64,57,76,56,79,107,171,215,259,253,225,289,252,211,191,209,179,179,152,121,96
62,147673,Broadway,West 242 Street,240 Street,SB,09/14/2014,285,189,172,142,147,132,172,266,416,576,705,638,753,817,835,756,755,686,764,641,596,445,350,240
62,158447,Broadway,West 242 Street,240 Street,NB,09/14/2014,285,189,172,142,147,132,172,266,416,576,705,638,753,817,835,756,755,686,764,641,596,445,350,240
62,255653,Broadway,West 242 Street,240 Street,SB,09/14/2014,80,77,73,57,47,59,67,94,152,269,233,256,272,273,248,242,231,199,174,185,164,124,108,77
71,139620,Bronx River Parkway,Bronx River,East Gun Hill Road,NB,09/14/2014,1042,736,488,325,342,371,698,1026,1187,1676,2187,2449,2530,2663,2772,2840,3022,3028,3157,3007,2362,1734,1263,863
71,139618,Bronx River Parkway,East Gun Hill Road,Bronx River,SB,09/14/2014,1019,685,477,337,350,347,545,792,1020,1321,1682,2064,2396,2559,2396,2584,2521,2444,2157,1965,1607,1342,934,744
76,70364,Brook Avenue,East 152 Street,East 153 Street,SB,09/14/2014,89,70,65,40,49,32,33,62,66,124,150,162,210,236,302,75,0,0,46,222,174,112,83,64
89,69780,East 138 Street,Canal Place,Rider Avenue,EB,09/14/2014,388,384,336,272,297,171,200,215,218,279,308,381,407,436,471,493,477,494,489,447,381,344,302,271
89,69780,East 138 Street,Rider Avenue,Canal Place,WB,09/14/2014,286,278,267,271,244,138,158,188,218,253,312,280,341,386,391,390,431,366,357,356,294,281,216,193
102,69979,Concourse Village West,East 156 Street,East 156 Street,NB,09/14/2014,90,88,66,46,44,34,35,53,66,87,106,143,144,155,199,184,186,195,196,201,167,167,131,72
104,9001519,Courtladt Avenue,East 153 Street,East 154 Street,NB,09/14/2014,83,66,37,53,41,27,32,35,48,47,109,135,136,178,184,178,166,139,163,149,124,122,79,52
108,276970,East 144 Street,A J Griffin Place,Grand Concourse,WB,09/14/2014,84,45,47,34,30,20,40,85,99,78,89,107,115,125,122,149,139,107,94,119,105,76,66,40
108,276970,East 144 Street,Grand Concourse,A J Griffin Place,EB,09/14/2014,84,63,60,47,50,35,77,110,71,83,138,113,135,152,184,207,196,163,159,179,128,91,80,77
109,173496,East 149 Street,A J Griffin Place,Grand Concourse,WB,09/14/2014,303,302,283,267,224,145,180,232,251,325,367,456,492,547,535,551,597,573,570,523,421,378,290,242
109,173496,East 149 Street,Grand Concourse,A J Griffin Place,EB,09/14/2014,429,383,374,289,343,184,205,254,290,348,419,503,531,532,679,720,682,674,672,633,567,498,402,374
111,69836,East 149 Street,Morris Avenue,Park Avenue,WB,09/14/2014,324,318,274,264,209,161,187,249,263,359,419,495,561,597,600,636,649,669,636,616,471,419,333,284
111,69836,East 149 Street,Park Avenue,Morris Avenue,EB,09/14/2014,278,255,216,183,229,130,156,199,214,247,313,365,424,423,526,381,351,524,487,447,393,338,289,267
120,111919,Eastchester Road,East Gun Hill Road,Adee Avenue,NB,09/14/2014,136,108,92,65,41,32,50,124,157,175,219,238,225,271,316,328,261,246,259,251,208,175,123,122
120,111919,Eastchester Road,East Gun Hill Road,Adee Avenue,SB,09/14/2014,136,98,66,31,26,22,88,102,98,183,197,205,201,205,271,242,216,198,187,152,138,90,96,76
121,88518,Eastchester Road,Givan Avenue,Tillotson Avenue,NB,09/14/2014,187,134,104,79,54,39,70,151,165,190,278,259,275,294,411,388,308,315,335,325,272,197,162,144
121,88518,Eastchester Road,Givan Avenue,Tillotson Avenue,SB,09/14/2014,171,130,81,36,36,41,70,100,128,189,193,232,227,248,289,281,266,242,249,228,207,156,126,116
124,89015,East 233 Street,Webster Avenue,Bronx River Parkway,EB,09/14/2014,528,354,243,222,259,272,381,511,518,703,971,849,794,875,666,1004,882,771,735,799,764,656,556,439
124,89015,East 233 Street,Webster Avenue,Bronx River Parkway,WB,09/14/2014,506,331,275,184,221,203,345,414,497,565,747,800,788,818,991,910,828,761,780,756,699,552,510,372
125,9014611,East Fordham Road,Southern Boulevard,Bronx River Parkway,EB,09/14/2014,1019,781,649,509,507,418,505,625,755,908,1243,1646,1874,1907,2078,2021,1942,1941,1791,1738,1516,1243,1025,821
